Comune;Casi;Abitanti;Percentuale;Sportelli bancari;Indice esposizione sportello;latitudine;longitudine
Menconico;35;358;9,77;;;447.967.464;92.785.597
Albonese;38;530;7,16;;;452.933.919;87.080.477
Cervesina;47;1218;3,85;1;3,85;450.623.703;90.173.703
Campospinoso;41;1095;3,74;;;450.964.074;92.456.481
Zavattarello;36;999;3,6;2;1,8;448.684.444;92.662.592
Zeme;33;1004;3,28;;;451.983.190;86.695.076
Frascarolo;36;1177;3,05;;;450.476.666;86.831.296
Marcignago;61;2501;2,43;2;1,21;452.538.280;90.782.410
Albuzzano;85;3564;2,38;1;2,38;451.863.480;92.740.960
Cigognola;31;1307;2,37;;;450.337.592;92.459.444
Casei Gerola;56;2485;2,25;1;2,25;450.086.111;89.278.148
Cilavegna;120;5475;2,19;3;0,73;453.108.498;87.469.456
Certosa Di Pavia;121;5544;2,18;2;1,09;452.524.770;91.311.150
Belgioioso;129;6209;2,07;5;0,41;451.595.356;93.148.158
Ferrera Erbognone;23;1109;2,07;;;451.139.490;88.645.870
Chignolo Po;75;3970;1,88;3;0,62;451.492.407;94.826.666
Romagnese;12;669;1,79;1;1,79;448.405.192;93.312.360
Ponte Nizza;14;784;1,78;;;448.531.866;90.976.423
Varzi;54;3115;1,73;2;0,86;448.236.530;91.958.559
Pinarolo Po;29;1685;1,72;1;1,72;450.709.629;91.684.629
Castana;12;746;1,6;;;450.272.352;92.719.102
Torre De’ Negri;5;315;1,58;;;452.184.444;90.773.703
Rivanazzano Terme;84;5327;1,57;;;449.267.222;90.142.407
Dorno;72;4632;1,55;2;0,77;451.570.781;89.540.102
Costa De’ Nobili;6;396;1,51;;;451.324.180;93.796.526
Valle Lomellina;33;2181;1,51;2;0,75;451.517.690;86.667.610
Cava Manara;100;6750;1,48;2;0,74;451.403.780;91.085.770
Rea;6;406;1,47;;;451.143.888;91.557.962
Casatisma;13;881;1,47;;;450.500.000;91.331.481
Montesegale;4;279;1,43;;;449.068.529;91.270.402
Montescano;6;424;1,41;;;450.322.239;92.847.240
Cornale E Bastida;12;848;1,41;;;450.425.810;89.111.580
Bastida Pancarana;14;993;1,4;;;450.404.014;89.217.099
Pieve Porto Morone;37;2660;1,39;2;0,69;451.103.148;94.368.888
Inverno E Monteleone;20;1490;1,34;;;451.987.947;93.853.334
Godiasco;44;3299;1,33;3;0,44;448.969.020;90.568.770
Villanova D’ardenghi;10;771;1,29;;;451.726.666;90.434.444
Vidigulfo;81;6508;1,24;2;0,62;452.904.480;92.349.599
Villanterio;37;2985;1,23;2;0,61;452.204.814;93.654.814
Stradella;143;11578;1,23;10;0,12;450.740.740;93.018.888
Santa Cristina E Bissone;24;1949;1,23;;;451.586.111;94.009.629
Arena Po;19;1556;1,22;;;450.976.666;93.636.111
Retorbido;19;1562;1,21;1;1,21;449.504.814;90.373.703
Voghera;463;39365;1,17;17;0,06;449.921.840;90.096.803
Ottobiano;13;1106;1,17;1;1,17;451.548.518;88.309.444
Broni;112;9603;1,16;9;0,12;450.664.074;92.634.629
Garlasco;113;9784;1,15;6;0,19;451.984.629;89.248.518
Gerenzago;16;1416;1,12;;;452.067.384;93.598.793
Santa Giuletta;18;1617;1,11;;;450.350.185;91.847.037
Montebello Della Battaglia;17;1563;1,08;1;1,08;450.020.555;91.045.370
Portalbera;16;1482;1,07;;;450.986.111;93.200.185
Mortara;165;15407;1,07;9;0,11;452.516.185;87.377.451
Breme;8;748;1,06;;;451.271.119;86.249.240
Vellezzo Bellini;35;3331;1,05;1;1,05;452.717.407;91.003.148
Parona;20;1905;1,04;1;1,04;452.827.698;87.517.168
Candia Lomellina;16;1556;1,02;;;451.798.695;85.959.354
Robbio;60;5860;1,02;6;0,17;452.915.831;85.923.041
Casteggio;67;6738;0,99;9;0,11;450.111.111;91.234.444
Mezzanino;13;1351;0,96;;;451.248.771;92.083.250
Pietra De’ Giorgi;8;835;0,95;;;450.226.473;92.308.166
Monticelli Pavese;7;732;0,95;;;451.120.925;95.148.744
San Damiano Al Colle;6;640;0,93;;;450.259.629;93.476.666
Gropello Cairoli;41;4454;0,92;2;0,46;451.795.370;89.939.259
Gambolo’;90;9896;0,9;;;452.649.123;88.586.920
Bagnaria;6;661;0,9;;;448.276.092;91.233.105
Vistarino;14;1545;0,9;;;452.115.052;93.089.144
Cassolnovo;62;6934;0,89;3;0,29;453.624.137;88.094.041
Sannazzaro De’ Burgondi;48;5414;0,88;;;451.033.053;89.075.039
Sartirana Lomellina;14;1593;0,87;2;0,43;451.156.296;86.656.481
Spessa;5;570;0,87;;;451.145.370;93.497.037
Verrua Po;11;1259;0,87;1;0,87;451.078.148;91.764.074
Valle Salimbene;13;1500;0,86;1;0,86;451.726.151;92.353.580
Torre Beretti E Castellaro;5;581;0,86;;;450.609.444;86.720.370
Vigevano;543;63426;0,85;23;0,03;453.170.920;88.586.493
Redavalle;9;1052;0,85;;;450.389.074;92.034.629
Corteolona E Genzone;22;2577;0,85;3;0,28;451.589.259;93.704.814
Lomello;18;2131;0,84;1;0,84;451.220.370;87.973.518
Castelletto Di Branduzzo;9;1067;0,84;;;450.703.768;90.988.964
Santa Margherita Di Staffora;4;475;0,84;;;447.712.777;92.417.407
Zeccone;14;1703;0,82;;;452.589.259;92.023.703
Miradolo Terme;30;3733;0,8;2;0,4;451.720.361;94.467.032
Torrazza Coste;13;1623;0,8;1;0,8;449.779.949;90.847.255
Cura Carpignano;39;4939;0,78;1;0,78;452.134.444;92.567.222
Bressana Bottarone;27;3474;0,77;2;0,38;450.788.941;91.330.208
Pavia;555;73086;0,75;52;0,01;451.858.767;91.566.316
Linarolo;21;2833;0,74;1;0,74;451.634.629;92.711.111
