Provincia; Popolazione ; %_pop ; Casi ; %_casi ; %_Casi_su_pop ; Nuovi_casi ; %_nuovi_casi ; %_nuovi_casi_su_pop 
Bergamo;1.114.590;11,08;14.872;15,91;1,33;7;13,73;0,00063
Brescia;1.265.954;12,58;15.858;16,96;1,25;9;17,65;0,00071
Como;599.204;5,96;4.144;4,43;0,69;1;1,96;0,00017
Cremona;358.955;3,57;6.714;7,18;1,87;0;0;0
Lecco;337.380;3,35;2.869;3,07;0,85;1;1,96;0,0003
Lodi;230.198;2,29;3.622;3,87;1,57;4;7,84;0,00174
Monza e della Brianza;873.935;8,69;5.848;6,25;0,67;0;0;0
Milano;3.250.315;32,31;24.742;26,46;0,76;17;33,33;0,00052
Mantova;412.292;4,1;3.666;3,92;0,89;5;9,8;0,00121
Pavia;545.888;5,43;5.604;5,99;1,03;0;0;0
Sondrio;181.095;1,8;1.603;1,71;0,89;1;1,96;0,00055
Varese;890.768;8,85;3.959;4,23;0,44;6;11,76;0,00067
LOMBARDIA;10.060.574;100;93.501;100;0,93;51;100;0,00051
