Provincia; Popolazione ; %_pop ; Casi ; %_casi ; %_Casi_su_pop ; Nuovi_casi ; %_nuovi_casi ; %_nuovi_casi_su_pop 
Bergamo;1.114.590;11,08;14.033;15,51;1,26;55;26,07;0,00493
Brescia;1.265.954;12,58;15.394;17,02;1,22;41;19,43;0,00324
Como;599.204;5,96;4.035;4,46;0,67;12;5,69;0,002
Cremona;358.955;3,57;6.568;7,26;1,83;3;1,42;0,00084
Lecco;337.380;3,35;2.808;3,1;0,83;4;1,9;0,00119
Lodi;230.198;2,29;3.552;3,93;1,54;0;0;0
Monza e della Brianza;873.935;8,69;3.425;3,79;0,39;1;0,47;0,00011
Milano;3.250.315;32,31;24.018;26,55;0,74;52;24,64;0,0016
Mantova;412.292;4,1;5.712;6,31;1,39;6;2,84;0,00146
Pavia;545.888;5,43;5.526;6,11;1,01;12;5,69;0,0022
Sondrio;181.095;1,8;1.554;1,72;0,86;12;5,69;0,00663
Varese;890.768;8,85;3.842;4,25;0,43;13;6,16;0,00146
;;;;;;;;
